HSHD_NUM,TOTAL_SPEND,TOTAL_UNITS,TRANSACTIONS,CHURNED,PREDICTED_CHURN
10,9454.91,1956,1655,0,0
29,19.950000000000003,6,6,1,1
53,5990.32,2874,2009,0,0
54,8046.610000000001,3787,2231,0,0
60,30628.33,11382,8520,0,0
81,39.82,9,9,1,1
92,29.07,14,8,1,1
99,15817.29,5732,4275,0,0
115,100.26,40,37,1,1
117,18741.34,4801,3692,0,0
136,13855.82,2718,2318,0,0
139,668.88,245,170,0,0
151,8642.15,2920,2159,0,0
159,9985.33,4470,2685,0,0
160,2954.82,801,669,0,0
172,5569.53,2758,1719,0,0
183,19960.62,5284,4563,0,0
184,6129.88,2153,1960,0,0
185,28.93,9,9,1,1
186,188.1,82,61,1,1
196,5798.41,1490,1179,0,0
210,14733.29,4773,3796,0,0
225,44.66,12,11,1,1
242,7042.4400000000005,1749,1310,0,0
264,54.55,21,15,1,1
308,15136.17,7471,6396,0,0
361,7792.61,2429,1953,0,0
401,13577.08,5972,4666,0,0
422,4858.63,1763,1576,0,0
428,8725.39,2957,2274,0,0
438,35807.22,8211,6464,0,0
453,12767.67,3230,2575,0,0
455,2.49,1,1,1,1
459,5910.34,1684,1525,0,0
482,3705.17,1645,1300,0,0
514,18528.51,5554,4233,0,0
525,5520.34,2292,1659,0,0
554,5329.17,2046,1660,0,0
575,3614.07,1469,1136,0,0
577,6761.68,2665,1759,0,0
590,9782.52,3238,2771,0,0
594,2673.9700000000003,1166,661,0,0
605,4684.36,2391,1765,0,0
616,12639.7,4309,2617,0,0
631,6319.37,2602,2168,0,0
632,7466.42,2502,2065,0,0
642,2978.29,1060,826,0,0
651,8926.19,3406,2670,0,0
655,5981.93,1889,1699,0,0
682,3455.74,1563,1193,0,0
692,7021.68,2321,1893,0,0
720,12117.1,2537,2042,0,0
733,19.08,5,5,1,1
762,3260.3,1425,1154,0,0
764,9441.97,3131,2289,0,0
766,10156.3,2985,2300,0,0
779,13086.79,5046,4488,0,0
780,1.99,1,1,1,1
789,17885.12,4617,3667,0,0
794,3017.58,786,677,0,0
801,7384.0,2352,1708,0,0
808,3741.73,1646,1267,0,0
812,1631.2,520,404,0,0
815,27660.05,7824,5652,0,0
826,30.66,9,9,1,1
839,7440.84,1879,1520,0,0
845,8731.35,3388,2823,0,0
881,28.81,9,6,1,1
915,53.6,19,17,1,1
916,1273.12,471,413,0,0
918,38.12,24,12,1,1
982,6610.34,2739,1914,0,0
984,14119.89,6535,5561,0,0
986,6653.72,2679,2140,0,0
991,25006.31,8623,7263,0,0
992,10873.39,5003,3798,0,0
1012,4411.08,2188,1611,0,0
1015,10558.83,4218,3432,0,0
1020,12932.98,4042,3265,0,0
1034,16971.78,8031,6640,0,0
1080,9906.83,3136,2546,0,0
1082,25848.44,8760,6751,0,0
1102,26670.43,7481,5610,0,0
1112,1027.94,426,325,0,0
1120,15389.99,4997,3894,0,0
1121,2785.9,1121,916,0,0
1122,3418.07,1534,1182,0,0
1132,5.49,1,1,1,1
1137,11619.94,3242,2502,0,0
1165,4112.96,1942,1500,0,0
1187,11751.75,4275,3750,0,0
1192,8157.69,2081,1275,0,0
1195,18158.14,5901,5081,0,0
1205,5753.25,1870,1384,0,0
1234,26.44,7,7,1,1
1241,31716.87,11362,9457,0,0
1245,29224.17,10991,8056,0,0
1251,17466.31,4098,2852,0,0
1261,9365.77,2954,2397,0,0
1265,22285.37,6680,5320,0,0
1270,20964.74,6452,4367,0,0
1275,4373.32,2377,1470,0,0
1277,6785.650000000001,2277,1868,0,0
1290,9218.84,3780,2677,0,0
1301,30.89,8,8,1,1
1308,4388.95,1487,1264,0,0
1349,1757.47,644,517,0,0
1358,411.8,174,160,0,0
1373,4138.03,1713,1460,0,0
1399,4828.11,1883,1499,0,0
1404,14780.0,4993,4028,0,0
1433,21394.52,8812,4013,0,0
1437,13024.9,4491,3652,0,0
1441,14662.5,4273,3076,0,0
1446,14471.34,4535,3889,0,0
1448,10268.38,4145,2539,0,0
1461,3.5,1,1,1,1
1462,166.48,44,35,1,1
1469,193.64,23,16,1,1
1470,2459.09,1329,1056,0,0
