HSHD_NUM,TOTAL_SPEND,TOTAL_UNITS,TRANSACTIONS
10,9454.91,1956,1655
29,19.950000000000003,6,6
53,5990.32,2874,2009
54,8046.610000000001,3787,2231
60,30628.33,11382,8520
81,39.82,9,9
92,29.07,14,8
99,15817.29,5732,4275
115,100.26,40,37
117,18741.34,4801,3692
136,13855.82,2718,2318
139,668.88,245,170
151,8642.15,2920,2159
159,9985.33,4470,2685
160,2954.82,801,669
172,5569.53,2758,1719
183,19960.62,5284,4563
184,6129.88,2153,1960
185,28.93,9,9
186,188.1,82,61
196,5798.41,1490,1179
210,14733.29,4773,3796
225,44.660000000000004,12,11
242,7042.4400000000005,1749,1310
264,54.55,21,15
308,15136.17,7471,6396
361,7792.61,2429,1953
401,13577.08,5972,4666
422,4858.63,1763,1576
428,8725.39,2957,2274
438,35807.22,8211,6464
453,12767.67,3230,2575
455,2.49,1,1
459,5910.34,1684,1525
482,3705.17,1645,1300
514,18528.51,5554,4233
525,5520.34,2292,1659
554,5329.17,2046,1660
575,3614.07,1469,1136
577,6761.68,2665,1759
590,9782.52,3238,2771
594,2673.9700000000003,1166,661
605,4684.36,2391,1765
616,12639.7,4309,2617
631,6319.37,2602,2168
632,7466.42,2502,2065
642,2978.29,1060,826
651,8926.19,3406,2670
655,5981.93,1889,1699
682,3455.7400000000002,1563,1193
692,7021.68,2321,1893
720,12117.1,2537,2042
733,19.080000000000002,5,5
762,3260.3,1425,1154
764,9441.97,3131,2289
766,10156.300000000001,2985,2300
779,13086.79,5046,4488
780,1.99,1,1
789,17885.12,4617,3667
794,3017.58,786,677
801,7384.0,2352,1708
808,3741.73,1646,1267
812,1631.2,520,404
815,27660.05,7824,5652
826,30.66,9,9
839,7440.84,1879,1520
845,8731.35,3388,2823
881,28.810000000000002,9,6
915,53.6,19,17
916,1273.1200000000001,471,413
918,38.12,24,12
982,6610.34,2739,1914
984,14119.89,6535,5561
986,6653.72,2679,2140
991,25006.31,8623,7263
992,10873.39,5003,3798
1012,4411.08,2188,1611
1015,10558.83,4218,3432
1020,12932.98,4042,3265
1034,16971.78,8031,6640
1080,9906.83,3136,2546
1082,25848.44,8760,6751
1102,26670.43,7481,5610
1112,1027.94,426,325
1120,15389.99,4997,3894
1121,2785.9,1121,916
1122,3418.07,1534,1182
1132,5.49,1,1
1137,11619.94,3242,2502
1165,4112.96,1942,1500
1187,11751.75,4275,3750
1192,8157.6900000000005,2081,1275
1195,18158.14,5901,5081
1205,5753.25,1870,1384
1234,26.44,7,7
1241,31716.87,11362,9457
1245,29224.170000000002,10991,8056
1251,17466.31,4098,2852
1261,9365.77,2954,2397
1265,22285.37,6680,5320
1270,20964.74,6452,4367
1275,4373.32,2377,1470
1277,6785.650000000001,2277,1868
1290,9218.84,3780,2677
1301,30.89,8,8
1308,4388.95,1487,1264
1349,1757.47,644,517
1358,411.8,174,160
1373,4138.03,1713,1460
1399,4828.11,1883,1499
1404,14780.0,4993,4028
1433,21394.52,8812,4013
1437,13024.9,4491,3652
1441,14662.5,4273,3076
1446,14471.34,4535,3889
1448,10268.380000000001,4145,2539
1461,3.5,1,1
1462,166.48,44,35
1469,193.64,23,16
1470,2459.09,1329,1056
1473,5558.9800000000005,2187,1660
1492,15512.32,4985,3518
1495,5775.41,1985,1529
1526,6344.82,1895,1610
1532,5423.17,2521,1713
1545,14293.75,3681,3055
1554,4242.57,2249,1981
1565,36.7,10,10
1567,10904.35,4188,2977
1573,105.3,46,40
1600,7692.6,1883,1818
1618,8100.92,3341,2532
1631,13089.880000000001,5845,4316
1632,9853.2,2854,1783
1647,12830.130000000001,3827,2771
1652,10651.07,3207,2538
1660,10.26,6,4
1661,1617.2,420,405
1662,54.86,24,19
1699,16348.98,4151,3261
1709,8162.3,2690,2240
1729,8511.44,3304,2547
1747,55.81,23,20
1748,14183.67,4826,3486
1750,9.98,2,1
1770,9311.59,2817,2377
1786,6958.46,2757,2028
1795,12684.52,6535,4489
1797,11298.98,4195,3477
1809,6143.79,1996,1611
1836,9578.64,3252,2766
1861,9409.97,4343,3531
1873,9008.06,2879,2447
1885,23191.1,7449,6014
1895,13878.24,6054,5263
1904,6532.47,2208,1814
1914,12.360000000000001,6,6
1916,13438.34,4767,4028
1924,14222.65,4072,3655
1937,1.0,1,1
1949,5198.24,2309,1817
1963,27.43,11,8
1990,22569.510000000002,5931,4809
1994,7854.47,2403,2232
2004,17235.06,4242,3272
2011,21089.1,5374,4078
2017,210.88,80,55
2019,4177.05,1494,1273
2022,18926.37,5449,4501
2024,11471.82,4555,3250
2027,25.97,3,3
2066,6553.3,2885,2396
2077,14684.79,5218,4310
2102,8877.28,2951,2333
2143,12344.03,3815,3086
2148,5464.35,2368,1465
2150,11353.72,3973,3046
2175,19724.5,7257,4510
2178,5896.64,2085,1514
2189,7525.92,2950,2034
2200,10204.19,4039,3184
2211,6189.6900000000005,2439,1860
2225,4208.91,1343,1096
2232,4922.63,2328,1944
2244,9440.27,2512,2004
2260,6846.55,2547,1917
2264,7365.99,2003,1802
2291,17003.03,4198,3449
2306,33.92,13,11
2319,4961.64,1107,875
2320,10577.53,3142,2562
2322,11590.97,3940,2795
2325,113.71000000000001,39,33
2337,173.37,67,61
2345,6448.88,1979,1477
2371,16856.69,4390,3400
2375,14710.98,2611,1866
2379,3156.82,1996,1462
2391,9062.18,2982,2495
2406,6137.28,2275,1738
2420,13024.99,3678,2673
2429,111.43,29,27
2433,19749.64,6215,4462
2435,11759.98,4272,3487
2436,13448.66,3597,2897
2442,17745.74,8342,5730
2453,9832.710000000001,5008,3356
2454,1271.85,472,344
2504,6425.64,1627,1413
2507,14749.31,6751,5024
2512,32915.63,13552,10034
2519,11951.58,3513,2739
2531,10951.37,3418,2662
2541,10458.28,3776,3127
2555,6386.9400000000005,2071,1639
2572,9195.44,3411,2554
2573,11563.35,2986,2446
2575,18340.7,6302,4792
2584,5639.72,2247,1881
2607,9469.97,5020,3371
2617,7437.64,3160,2110
2629,29054.05,9219,7111
2630,6891.85,1727,1307
2638,18644.27,5506,4110
2639,16731.76,5246,4380
2652,5003.37,2795,1358
2654,2695.52,1545,1273
2685,115.66,65,34
2707,4526.6,2034,1868
2710,9087.14,2701,2241
2735,108.16,32,29
2745,13562.53,4557,3117
2756,23966.55,6287,3786
2762,10015.44,3269,2389
2780,20704.38,8271,6672
2781,4142.83,1378,1150
2822,795.28,216,155
2838,23.349999999999998,5,5
2844,7193.2300000000005,2416,1793
2847,2729.09,912,752
2874,8073.01,2696,2010
2921,16.97,3,3
2934,86.34,22,21
2937,83.25,30,26
2938,8.49,2,2
2986,7758.39,3420,3096
2990,6060.37,2538,1967
2997,56.410000000000004,12,12
3003,8400.14,2366,1936
3004,8555.210000000001,2716,2206
3014,16761.65,5920,5029
3022,18708.57,6327,4622
3030,7951.3,3197,2515
3044,7987.68,3030,2174
3049,4478.2300000000005,1403,1225
3060,6828.96,2001,1712
3105,12158.300000000001,3315,2672
3111,9982.57,4140,3315
3151,12124.77,3076,2742
3163,6894.57,2543,1954
3164,13468.87,3378,2879
3186,9105.87,3158,2465
3205,5647.74,1969,1687
3214,23485.88,6452,4462
3220,10843.65,3864,3247
3232,12428.05,4131,3599
3243,14180.09,5078,3881
3246,14779.83,4958,4075
3247,8750.94,3263,2616
3257,100.83,18,18
3267,13380.29,3517,2756
3274,3486.89,852,599
3314,19030.32,4960,3623
3319,12381.99,3417,2750
3358,12089.49,3750,2761
3398,15925.57,4051,3412
3411,15951.32,5410,4588
3418,5943.61,2204,1641
3442,7150.4400000000005,2659,2167
3445,5634.6900000000005,3650,1163
3467,7432.61,2396,1795
3474,5120.16,2111,1739
3476,5785.82,1931,1761
3486,10562.300000000001,3144,2675
3496,26374.71,8079,6665
3523,6529.5,2360,1774
3551,16907.02,5530,4253
3582,16650.5,5085,4079
3603,9073.87,3786,3063
3606,10.58,8,6
3608,120.45,34,33
3614,2060.27,887,570
3635,14655.11,5368,3975
3655,11676.39,2939,2191
3670,8.99,1,1
3672,16535.3,6082,4738
3681,9.99,1,1
3687,10120.960000000001,3954,2790
3689,165.93,50,45
3703,377.92,130,112
3733,415.13,108,90
3739,72.04,15,14
3755,43.21,15,9
3758,12377.6,4347,3464
3784,13112.14,5271,4112
3785,21164.56,5913,4996
3800,4906.64,1978,1545
3809,22705.1,6553,4956
3811,6155.16,4261,3501
3819,2466.73,1165,849
3820,11606.29,3861,3010
3840,18246.47,7785,5426
3842,5945.62,2414,2072
3881,4485.91,1414,1157
3889,19505.58,6765,5056
3893,10828.68,5455,4015
3895,6422.54,3427,2893
3904,28125.350000000002,8859,7780
3940,16783.4,5015,3849
3964,11293.16,4671,3582
3969,6578.27,2219,1616
3977,6680.82,2667,1520
3988,3610.27,731,507
3993,8480.39,3044,2391
4005,9618.6,3048,2613
4011,12515.93,4336,2768
4017,5088.41,1818,1386
4037,12022.75,3165,2457
4057,8085.610000000001,3179,2384
4061,22.72,8,8
4062,156.66,47,36
4065,7574.03,3064,2117
4078,24072.08,7437,5714
4085,15605.82,5443,4488
4105,714.17,252,201
4126,19202.02,4887,3556
4146,12285.73,3954,3407
4159,5114.58,1695,1520
4171,8130.74,3477,2718
4183,5680.74,2908,2578
4214,10465.31,2610,2295
4218,23879.56,6621,5500
4249,12202.23,3998,3078
4264,8546.52,3716,2769
4272,6.99,1,1
4293,16672.16,4449,3241
4351,16.98,2,1
4363,5.1899999999999995,2,2
4366,5763.85,1161,1028
4372,6020.33,1678,1389
4405,10481.93,2788,2171
4406,3291.14,1437,1010
4414,10784.69,4386,3477
4420,14150.300000000001,4012,3468
4432,96.87,31,22
4439,11283.07,3641,1848
4453,7988.16,3143,2782
4457,7251.26,2660,1949
4458,19328.64,5538,4199
4498,5108.45,1870,1406
4506,7572.7,2123,1681
4552,299.11,92,85
4568,8347.81,1558,1069
4570,6.98,2,2
4587,871.29,244,211
4594,7825.57,2723,1925
4603,8738.710000000001,2710,1971
4604,11911.95,3934,2901
4606,6890.89,2293,1575
4607,12953.74,3293,2556
4614,5575.36,1750,1415
4623,7849.57,2148,1919
4713,21038.89,7348,6113
4716,5241.53,1282,1050
4719,9423.83,3670,2419
4724,3402.35,1346,1196
4725,7784.46,3170,2669
4740,6265.28,2118,1524
4745,8770.72,3509,2786
4753,223.18,81,61
4757,4875.35,1347,1150
4766,15210.08,6231,5119
4774,5120.78,1570,1201
4778,15215.07,5374,3973
4809,8651.25,3364,2451
4813,1.0,2,1
4816,6270.59,2996,2243
4823,117.24,44,36
4836,16104.64,5810,5308
4851,3811.04,1259,983
4857,14970.55,6317,5006
4878,5889.13,2101,1678
4879,10023.69,2925,2223
4897,7144.02,2361,2153
4904,12531.68,4376,3439
4909,54.35,14,13
4974,6545.110000000001,2051,1912
4982,8554.52,2624,1986
4987,18877.53,6694,3400
4989,15.7,2,2
