HSHD_NUM,TOTAL_SPEND,TOTAL_UNITS,TRANSACTIONS,SEGMENT
10,9454.91,1956,1655,0
29,19.950000000000003,6,6,2
53,5990.32,2874,2009,0
54,8046.610000000001,3787,2231,0
60,30628.33,11382,8520,1
81,39.82,9,9,2
92,29.07,14,8,2
99,15817.29,5732,4275,3
115,100.26,40,37,2
117,18741.34,4801,3692,3
136,13855.82,2718,2318,0
139,668.88,245,170,2
151,8642.15,2920,2159,0
159,9985.33,4470,2685,3
160,2954.82,801,669,2
172,5569.53,2758,1719,0
183,19960.62,5284,4563,3
184,6129.88,2153,1960,0
185,28.93,9,9,2
186,188.1,82,61,2
196,5798.41,1490,1179,0
210,14733.29,4773,3796,3
225,44.66,12,11,2
242,7042.4400000000005,1749,1310,0
264,54.55,21,15,2
308,15136.17,7471,6396,1
361,7792.61,2429,1953,0
401,13577.08,5972,4666,3
422,4858.63,1763,1576,0
428,8725.39,2957,2274,0
438,35807.22,8211,6464,1
453,12767.67,3230,2575,3
455,2.49,1,1,2
459,5910.34,1684,1525,0
482,3705.17,1645,1300,0
514,18528.51,5554,4233,3
525,5520.34,2292,1659,0
554,5329.17,2046,1660,0
575,3614.07,1469,1136,0
577,6761.68,2665,1759,0
590,9782.52,3238,2771,0
594,2673.9700000000003,1166,661,2
605,4684.36,2391,1765,0
616,12639.7,4309,2617,3
631,6319.37,2602,2168,0
632,7466.42,2502,2065,0
642,2978.29,1060,826,2
651,8926.19,3406,2670,0
655,5981.93,1889,1699,0
682,3455.74,1563,1193,0
692,7021.68,2321,1893,0
720,12117.1,2537,2042,0
733,19.08,5,5,2
762,3260.3,1425,1154,0
764,9441.97,3131,2289,0
766,10156.3,2985,2300,0
779,13086.79,5046,4488,3
780,1.99,1,1,2
789,17885.12,4617,3667,3
794,3017.58,786,677,2
801,7384.0,2352,1708,0
808,3741.73,1646,1267,0
812,1631.2,520,404,2
815,27660.05,7824,5652,1
826,30.66,9,9,2
839,7440.84,1879,1520,0
845,8731.35,3388,2823,0
881,28.81,9,6,2
